date,dep,polluant,valeur_mean,valeur_mediane,nb_station_pollution
2019-01-04,77,PM10,30.21111111111111,28.4,72
2019-01-04,77,PM25,17.283333333333335,16.05,48
2019-01-04,78,NO2,24.071428571428573,22.75,70
2019-01-04,78,O3,38.685106382978724,38.849999999999994,94
2019-01-04,78,PM10,16.491666666666667,18.05,24
2019-01-04,78,PM25,14.08695652173913,15.4,23
2019-01-04,91,NO2,48.81666666666666,41.55,72
2019-01-04,91,O3,33.65138888888889,32.85,72
2019-01-04,91,PM10,19.912499999999998,19.2,24
2019-01-04,91,PM25,15.91304347826087,15.1,23
2019-01-04,92,NO2,39.390277777777776,38.7,72
2019-01-04,92,O3,31.020833333333332,34.7,24
2019-01-04,92,PM10,22.734285714285715,22.9,35
2019-01-04,92,PM25,16.083333333333332,16.5,24
2019-01-04,93,NO2,42.68957055214724,38.7,163
2019-01-04,93,O3,25.097916666666666,25.55,48
2019-01-04,93,PM10,27.813978494623655,25.5,93
2019-01-04,93,PM25,17.284782608695654,17.1,46
2019-01-04,94,NO2,40.72291666666667,39.5,48
2019-01-04,94,O3,25.366666666666664,28.15,48
2019-01-04,94,PM10,23.48125,22.6,48
2019-01-04,94,PM25,17.433333333333334,17.85,24
2019-01-04,95,NO2,24.354285714285712,23.0,35
2019-01-04,95,O3,50.71527777777778,51.55,72
2019-01-04,95,PM10,15.30625,15.2,48
2019-01-04,95,PM25,15.679545454545455,15.600000000000001,44
2019-01-05,75,NO2,36.08555240793201,32.3,353
2019-01-05,75,O3,36.82604166666667,36.55,96
2019-01-05,75,PM10,28.503684210526316,25.85,190
2019-01-05,75,PM25,20.490277777777777,20.65,72
2019-01-05,77,NO2,28.58082191780822,24.8,73
2019-01-05,77,O3,40.12,42.95,120
2019-01-05,77,PM10,23.156944444444445,23.15,72
2019-01-05,77,PM25,15.902083333333332,14.35,48
2019-01-05,78,NO2,18.166666666666668,17.6,72
2019-01-05,78,O3,41.93541666666667,40.0,96
2019-01-05,78,PM10,21.229166666666668,23.15,24
2019-01-05,78,PM25,18.479166666666668,18.450000000000003,24
2019-01-05,91,NO2,38.645833333333336,33.55,72
2019-01-05,91,O3,43.78333333333333,47.0,72
2019-01-05,91,PM10,16.491666666666667,15.850000000000001,24
2019-01-05,91,PM25,13.354166666666666,13.9,24
2019-01-05,92,NO2,30.008333333333333,29.55,72
2019-01-05,92,O3,33.25,33.35,24
2019-01-05,92,PM10,24.175,24.0,48
2019-01-05,92,PM25,19.2,19.35,24
2019-01-05,93,NO2,32.832142857142856,30.950000000000003,168
2019-01-05,93,O3,34.166666666666664,33.8,48
2019-01-05,93,PM10,26.023958333333336,24.15,96
2019-01-05,93,PM25,18.479166666666668,17.85,48
2019-01-05,94,NO2,26.514583333333334,25.549999999999997,48
2019-01-05,94,O3,35.93125,35.95,48
2019-01-05,94,PM10,21.15625,21.55,48
2019-01-05,94,PM25,15.887500000000001,15.9,24
2019-01-05,95,NO2,19.504166666666666,16.65,48
2019-01-05,95,O3,44.71666666666667,46.2,72
2019-01-05,95,PM10,22.993750000000002,22.75,48
2019-01-05,95,PM25,16.466666666666665,15.55,48
2019-01-06,75,NO2,44.03509749303621,42.3,359
2019-01-06,75,O3,29.453125,28.0,96
2019-01-06,75,PM10,32.199999999999996,30.45,192
2019-01-06,75,PM25,24.5875,24.25,72
2019-01-06,77,NO2,27.202777777777776,25.1,72
2019-01-06,77,O3,28.8925,31.15,120
2019-01-06,77,PM10,34.230555555555554,33.0,72
2019-01-06,77,PM25,21.014583333333334,19.4,48
2019-01-06,78,NO2,20.75211267605634,15.9,71
2019-01-06,78,O3,36.08958333333333,37.599999999999994,96
2019-01-06,78,PM10,24.5,23.7,24
2019-01-06,78,PM25,20.916666666666668,20.25,24
2019-01-06,91,NO2,43.42777777777778,45.75,72
2019-01-06,91,O3,32.56111111111111,36.3,72
2019-01-06,91,PM10,21.90833333333333,21.6,24
2019-01-06,91,PM25,17.345833333333335,18.05,24
2019-01-06,92,NO2,36.266666666666666,37.3,72
2019-01-06,92,O3,21.791666666666668,21.049999999999997,24
2019-01-06,92,PM10,29.660416666666666,28.8,48
2019-01-06,92,PM25,25.791666666666668,24.549999999999997,24
2019-01-06,93,NO2,47.93273809523809,46.85,168
2019-01-06,93,O3,18.572916666666668,13.45,48
2019-01-06,93,PM10,35.1625,31.3,96
2019-01-06,93,PM25,24.587500000000002,23.5,48
2019-01-06,94,NO2,40.893750000000004,43.3,48
2019-01-06,94,O3,20.474999999999998,19.1,48
2019-01-06,94,PM10,28.583333333333332,27.8,48
2019-01-06,94,PM25,22.329166666666666,21.35,24
2019-01-06,95,NO2,30.87708333333333,31.4,48
2019-01-06,95,O3,40.09583333333333,40.2,72
2019-01-06,95,PM10,24.787499999999998,24.45,48
2019-01-06,95,PM25,21.8625,21.1,48
2019-01-07,75,NO2,47.319884726224785,45.9,347
2019-01-07,75,O3,22.085106382978722,20.6,94
2019-01-07,75,PM10,28.629100529100526,27.9,189
2019-01-07,75,PM25,19.04492753623188,17.6,69
2019-01-07,77,NO2,33.24,29.6,85
2019-01-07,77,O3,14.255833333333333,10.350000000000001,120
2019-01-07,77,PM10,38.981944444444444,37.3,72
2019-01-07,77,PM25,21.227083333333333,20.9,48
2019-01-07,78,NO2,22.244444444444444,16.6,72
2019-01-07,78,O3,29.93958333333333,31.65,96
2019-01-07,78,PM10,15.15,14.25,24
2019-01-07,78,PM25,13.404166666666667,13.05,24
2019-01-07,91,NO2,52.58888888888889,45.8,72
2019-01-07,91,O3,25.336111111111112,25.1,72
2019-01-07,91,PM10,18.708333333333332,17.6,24
2019-01-07,91,PM25,13.770833333333334,13.4,24
2019-01-07,92,NO2,38.71944444444445,38.65,72
2019-01-07,92,O3,14.658333333333333,13.05,24
2019-01-07,92,PM10,24.107692307692307,25.3,39
2019-01-07,92,PM25,18.3875,19.65,24
2019-01-07,93,NO2,51.50773809523809,52.5,168
2019-01-07,93,O3,8.85,6.4,48
2019-01-07,93,PM10,33.02708333333333,31.45,96
2019-01-07,93,PM25,19.422916666666666,19.75,48
2019-01-07,94,NO2,46.33958333333334,48.0,48
2019-01-07,94,O3,10.466666666666667,8.55,48
2019-01-07,94,PM10,25.391666666666666,26.75,48
2019-01-07,94,PM25,16.279166666666665,15.5,24
2019-01-07,95,NO2,33.30625,36.55,48
2019-01-07,95,O3,34.923611111111114,34.8,72
2019-01-07,95,PM10,15.802083333333334,16.35,48
2019-01-07,95,PM25,16.1125,14.3,48
2019-01-08,75,NO2,39.37106017191977,37.3,349
2019-01-08,75,O3,42.896875,44.55,96
2019-01-08,75,PM10,22.1984375,19.8,192
2019-01-08,75,PM25,10.243055555555555,9.8,72
2019-01-08,77,NO2,24.871578947368423,22.3,95
2019-01-08,77,O3,47.59327731092437,49.3,119
2019-01-08,77,PM10,18.670833333333334,17.6,72
2019-01-08,77,PM25,9.620833333333334,8.95,48
2019-01-08,78,NO2,14.70138888888889,12.75,72
2019-01-08,78,O3,53.114583333333336,56.25,96
2019-01-08,78,PM10,14.704166666666666,14.65,24
2019-01-08,78,PM25,8.229166666666666,8.149999999999999,24
2019-01-08,91,NO2,37.349999999999994,31.7,72
2019-01-08,91,O3,51.640277777777776,52.1,72
2019-01-08,91,PM10,13.645833333333334,12.75,24
2019-01-08,91,PM25,7.075,6.5,24
2019-01-08,92,NO2,31.09718309859155,31.4,71
2019-01-08,92,O3,38.57083333333333,40.55,24
2019-01-08,92,PM10,17.56153846153846,17.6,26
2019-01-08,92,PM25,8.549999999999999,8.2,24
2019-01-08,93,NO2,37.854166666666664,35.849999999999994,168
2019-01-08,93,O3,38.735416666666666,39.099999999999994,48
2019-01-08,93,PM10,22.961458333333336,19.25,96
2019-01-08,93,PM25,9.739583333333334,8.9,48
2019-01-08,94,NO2,28.773809523809526,30.0,42
2019-01-08,94,O3,40.768085106382976,40.5,47
2019-01-08,94,PM10,17.818749999999998,17.15,48
2019-01-08,94,PM25,8.463636363636363,8.0,11
2019-01-08,95,NO2,19.640425531914893,19.5,47
2019-01-08,95,O3,59.37083333333333,62.1,72
2019-01-08,95,PM10,15.364583333333334,15.95,48
2019-01-08,95,PM25,8.685416666666667,7.95,48
2019-01-09,75,NO2,42.51647727272727,40.25,352
2019-01-09,75,O3,43.677083333333336,45.15,96
2019-01-09,75,PM10,21.492737430167598,19.6,179
2019-01-09,75,PM25,9.891428571428571,8.55,70
2019-01-09,77,NO2,25.778260869565216,24.8,92
2019-01-09,77,O3,52.82857142857143,54.0,119
2019-01-09,77,PM10,16.572222222222223,15.3,72
2019-01-09,77,PM25,8.716666666666667,8.55,48
2019-01-09,78,NO2,15.277777777777779,14.1,72
2019-01-09,78,O3,53.199999999999996,52.65,96
2019-01-09,78,PM10,15.483333333333334,15.95,24
2019-01-09,78,PM25,9.0875,9.1,24
2019-01-09,91,NO2,39.17638888888889,31.95,72
2019-01-09,91,O3,53.47222222222222,53.8,72
2019-01-09,91,PM10,14.445833333333333,14.1,24
2019-01-09,91,PM25,6.495833333333334,6.55,24
2019-01-09,92,NO2,34.36388888888889,32.0,72
2019-01-09,92,O3,40.833333333333336,42.25,24
2019-01-09,92,PM10,19.141666666666666,16.8,24
2019-01-09,92,PM25,7.5249999999999995,7.55,24
2019-01-09,93,NO2,35.09634146341463,32.15,164
2019-01-09,93,O3,41.5404255319149,40.1,47
2019-01-09,93,PM10,20.190625,17.1,96
2019-01-09,93,PM25,8.110416666666667,7.8,48
2019-01-09,94,NO2,31.191666666666666,29.85,48
2019-01-09,94,O3,41.856249999999996,44.0,48
2019-01-09,94,PM10,16.243750000000002,16.15,48
2019-01-09,95,NO2,17.758333333333333,14.2,48
2019-01-09,95,O3,62.53888888888889,64.69999999999999,72
2019-01-09,95,PM10,13.558333333333332,13.1,48
2019-01-09,95,PM25,7.2749999999999995,7.4,48
2019-01-10,75,NO2,55.60472222222222,54.1,360
2019-01-10,75,O3,33.043749999999996,35.1,96
2019-01-10,75,PM10,28.570391061452515,25.2,179
2019-01-10,75,PM25,12.055555555555555,10.65,72
2019-01-10,77,NO2,43.925,38.55,92
2019-01-10,77,O3,34.3825,36.55,120
2019-01-10,77,PM10,30.37083333333333,26.85,72
2019-01-10,77,PM25,10.208333333333334,8.05,48
2019-01-10,78,NO2,28.116666666666667,23.4,72
2019-01-10,78,O3,35.778124999999996,36.55,96
2019-01-10,78,PM10,19.383333333333333,20.200000000000003,24
2019-01-10,78,PM25,10.395833333333334,8.0,24
2019-01-10,91,NO2,55.62222222222223,55.099999999999994,72
2019-01-10,91,O3,34.17391304347826,35.1,69
2019-01-10,91,PM10,21.6875,21.25,24
2019-01-10,91,PM25,9.741666666666667,9.05,24
2019-01-10,92,NO2,48.16935483870968,49.349999999999994,62
