Polluant,Tâche,Modèle,Score1,Score2,Score3
NO2,Régression,RandomForest,5.6272247183254445,7.268680272387907,0.4351465447775257
NO2,Régression,XGBoost,5.181758144960825,6.751101777777713,0.5127251814157929
NO2,Classification,LogisticRegression,0.8292011019283747,0.524904214559387,
NO2,Classification,RandomForest,0.8230027548209367,0.5009708737864078,
NO2,Classification,XGBoost,0.8319559228650137,0.5481481481481482,
O3,Régression,RandomForest,6.191018199137314,8.154191314546324,0.8070533595409896
O3,Régression,XGBoost,6.2808485548973865,8.255583978214704,0.8022251668496649
O3,Classification,LogisticRegression,0.9869146005509641,0.17391304347826086,
O3,Classification,RandomForest,0.990358126721763,0.36363636363636365,
O3,Classification,XGBoost,0.9896694214876033,0.2857142857142857,
PM10,Régression,RandomForest,4.506547813446699,6.313475160603039,0.4142545599773644
PM10,Régression,XGBoost,4.376502080288311,6.1406686605669485,0.44588068001382675
PM10,Classification,LogisticRegression,0.989648033126294,0.0,
PM10,Classification,RandomForest,0.989648033126294,0.0,
PM10,Classification,XGBoost,0.989648033126294,0.11764705882352941,
PM2.5,Régression,RandomForest,2.605979964683408,3.8842306261640878,0.5752468916401153
PM2.5,Régression,XGBoost,2.6747963432890214,3.945744107048976,0.561686968958964
PM2.5,Classification,LogisticRegression,0.9151138716356108,0.555956678700361,
PM2.5,Classification,RandomForest,0.9254658385093167,0.6275862068965518,
PM2.5,Classification,XGBoost,0.9227053140096618,0.6291390728476821,
