num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
95088001,95088001,"LE BOURGET",48.967333,2.427667,49,20190815,0,1,16.5,1,555,9,23.5,1,1413,9,19.6,1,20,1,7,1,15.8,9,15.6,9,0,9,4.9,1,,,8.4,1,260,1,1206,9,15.6,1,240,1,1136,9,,,,,,,13.6,1,,,1136,9,0,9
95078001,95078001,"PONTOISE - AERO",49.090333,2.0285,87,20210403,0,1,5.1,1,2115,9,11.1,1,1628,9,7.1,1,8.1,1,6,1,4.5,9,,,0,9,6.5,1,,,9.6,1,40,1,40,9,14.9,1,30,1,14,9,,,,,,,14.3,1,,,14,9,0,9
95690001,95690001,WY-DIT,49.108167,1.830667,126,20221022,1.4,1,12.1,1,644,9,21,1,1519,9,15.5,1,16.6,1,8.9,1,,,,,0,9,3.3,1,,,6.9,1,200,1,136,9,9.7,1,210,1,149,9,,,,,,,9.4,9,,,149,9,,
95690001,95690001,WY-DIT,49.108167,1.830667,126,20210814,0,1,10.5,1,424,9,28.9,1,1613,9,19.9,1,19.7,1,18.4,1,,,,,0,9,0.8,1,,,2.5,1,100,1,1328,9,7.2,1,100,1,1108,9,,,,,,,6.5,9,,,1108,9,,
95492001,95492001,"LE PLESSIS GASSOT",49.040333,2.406667,108,20211014,0,1,3.1,1,501,9,17.6,1,1514,9,9.4,1,10.4,1,14.5,1,-0.9,9,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9
95690001,95690001,WY-DIT,49.108167,1.830667,126,20220305,0,1,6.4,1,640,9,9,1,1401,9,7,1,7.7,1,2.6,1,,,,,0,9,2.3,1,,,4.3,1,340,1,1859,9,6.1,1,350,1,1855,9,,,,,,,5.7,9,,,1855,9,,
95078001,95078001,"PONTOISE - AERO",49.090333,2.0285,87,20220509,0,1,5.9,1,414,9,25.6,1,1545,9,16.2,1,15.8,1,19.7,1,2.9,9,,,0,9,1.3,1,,,4.4,1,250,1,1628,9,7.5,1,240,1,1621,9,,,,,,,7.2,1,,,1621,9,0,9
95690001,95690001,WY-DIT,49.108167,1.830667,126,20200221,0,1,2.1,1,637,9,9.5,1,1430,9,5.8,1,5.8,1,7.4,1,,,,,0,9,4.6,1,,,7.4,1,230,1,1330,9,11.1,1,220,1,1332,9,,,,,,,10.4,9,,,1515,9,,
95078001,95078001,"PONTOISE - AERO",49.090333,2.0285,87,20220401,0.6,1,0.6,1,240,9,3.4,1,1554,9,2,1,2,1,2.8,1,-0.6,9,,,0,9,7.5,1,,,10.4,1,330,1,124,9,16.3,1,20,1,1752,9,,,,,,,15,1,,,1752,9,569,9
95580001,95580001,"ST WITZ",49.085667,2.550667,141,20220720,5.2,1,18.6,1,1254,9,22.1,1,1802,9,19.8,1,20.4,1,3.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95527001,95527001,ROISSY,49.015167,2.534333,108,20190518,0.2,1,11.7,1,509,9,19.2,1,1613,9,14.9,1,15.5,1,7.5,1,11.2,9,11.3,9,0,9,2.4,1,,,6,1,100,1,1812,9,10.1,1,130,1,1420,9,,,,,,,9.3,1,,,1420,9,96,9
95088001,95088001,"LE BOURGET",48.967333,2.427667,49,20211023,0,1,8.2,1,2235,9,15.8,1,1217,9,10.1,1,12,1,7.6,1,6.5,9,7.1,9,0,9,1.6,1,,,3.7,1,110,1,1715,9,5.8,1,110,1,1642,9,,,,,,,5.6,1,,,1642,9,0,9
95580001,95580001,"ST WITZ",49.085667,2.550667,141,20200503,0.2,1,7.3,1,127,9,17.5,1,1606,9,12.6,1,12.4,1,10.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95492001,95492001,"LE PLESSIS GASSOT",49.040333,2.406667,108,20190625,0,1,18.6,1,425,9,32.7,1,1434,9,25.7,1,25.7,1,14.1,1,15.7,9,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9
95492001,95492001,"LE PLESSIS GASSOT",49.040333,2.406667,108,20210112,6.7,1,4.7,1,2202,9,9.3,1,1441,9,6.7,1,7,1,4.6,1,4.5,9,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,9
95492001,95492001,"LE PLESSIS GASSOT",49.040333,2.406667,108,20191014,2.6,1,12.8,1,2339,9,24,1,1416,9,17.9,1,18.4,1,11.2,1,8.6,9,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,9
95690001,95690001,WY-DIT,49.108167,1.830667,126,20220406,1.8,1,6.3,1,129,9,13.3,1,1239,9,10,1,9.8,1,7,1,,,,,0,9,6.9,1,,,9.3,1,240,1,952,9,17,1,220,9,2325,9,,,,,,,14.6,9,,,2325,9,,
95088001,95088001,"LE BOURGET",48.967333,2.427667,49,20211215,0,1,7.2,1,517,9,9.2,1,1443,9,7.8,1,8.2,1,2,1,4.4,9,6.1,9,0,9,1.1,1,,,2.2,1,360,1,1843,9,3,1,130,1,1455,9,,,,,,,2.7,1,,,452,9,0,9
95527001,95527001,ROISSY,49.015167,2.534333,108,20210614,0,1,14,1,352,9,29.7,1,1543,9,22.6,1,21.9,1,15.7,1,12,9,13.5,9,0,9,2.4,1,,,4.3,1,50,1,8,9,7.4,1,40,1,26,9,,,,,,,7.1,1,,,26,9,0,9
95492001,95492001,"LE PLESSIS GASSOT",49.040333,2.406667,108,20200829,7,1,12,1,355,9,19.3,1,1157,9,14.3,1,15.7,1,7.3,1,9.4,9,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,9
95088001,95088001,"LE BOURGET",48.967333,2.427667,49,20210506,5.8,1,6.3,1,334,9,10.5,1,1543,9,8.3,1,8.4,1,4.2,1,4.8,9,5.1,9,0,9,2.7,1,,,4.7,1,260,1,201,9,8.1,1,270,1,54,9,,,,,,,7.8,1,,,54,9,487,9
95492001,95492001,"LE PLESSIS GASSOT",49.040333,2.406667,108,20210523,5.2,1,7.3,1,124,9,17.4,1,1658,9,13.1,1,12.4,1,10.1,1,5.1,9,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,9
95690001,95690001,WY-DIT,49.108167,1.830667,126,20200501,1,1,7,1,16,9,15.6,1,1527,9,10.2,1,11.3,1,8.6,1,,,,,0,9,5.1,1,,,8.9,1,280,1,1437,9,15.1,1,290,1,1338,9,,,,,,,14.1,9,,,1338,9,,
95088001,95088001,"LE BOURGET",48.967333,2.427667,49,20201031,0.4,1,11.6,1,458,9,18.3,1,1628,9,14.5,1,15,1,6.7,1,10.1,9,10.7,9,0,9,4.5,1,,,8.4,1,190,1,1632,9,15.2,1,220,1,1645,9,,,,,,,13.3,1,,,1645,9,142,9
95492001,95492001,"LE PLESSIS GASSOT",49.040333,2.406667,108,20190128,0,1,1.9,1,354,9,6.6,1,1240,9,3.1,1,4.3,1,4.7,1,1.2,9,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9
95088001,95088001,"LE BOURGET",48.967333,2.427667,49,20190214,0,1,-0.5,1,555,9,12.1,1,1458,9,5.2,1,5.8,1,12.6,1,-2.8,9,-2.1,9,124,9,2.3,1,,,4.6,1,60,1,1511,9,6.2,1,60,1,1503,9,,,,,,,5.7,1,,,1453,9,0,9
95492001,95492001,"LE PLESSIS GASSOT",49.040333,2.406667,108,20210304,0.6,1,6.2,1,251,9,11.6,1,1211,9,8.2,1,8.9,1,5.4,1,2.7,9,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,9
