num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20220114,0,1,-2.9,1,449,9,2.2,1,1453,9,-1.4,1,-0.4,1,5.1,1,-4.2,9,,,1202,9,0.3,1,,,2.1,1,170,1,1346,9,3.1,1,180,1,1344,9,,,,,,,3,9,,,1344,9,,
91200002,91200002,DOURDAN,48.526167,1.993,116,20220323,0.2,1,-0.9,1,529,9,17.8,1,1446,9,8.8,1,8.5,1,18.7,1,-2.9,9,,,86,9,1.7,1,,,6.4,1,90,1,1235,9,12.3,1,110,1,1411,9,,,,,,,11.7,9,,,1411,9,,
91200002,91200002,DOURDAN,48.526167,1.993,116,20210702,0,1,11.9,1,405,9,27.9,1,1548,9,20.4,1,19.9,1,16,1,8.9,9,,,0,9,0.8,1,,,2.5,1,220,1,1612,9,5.6,1,220,1,1605,9,,,,,,,5.2,9,,,1605,9,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20220317,0,1,7.5,1,1757,9,9.6,1,1333,9,8.3,1,8.6,1,2.1,1,6.7,9,,,0,9,3.9,1,,,6.1,1,350,1,923,9,10.3,1,340,1,1042,9,,,,,,,9.7,9,,,1042,9,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20201104,0,1,0.2,1,613,9,11.3,1,1329,9,6,1,5.8,1,11.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91200002,91200002,DOURDAN,48.526167,1.993,116,20210419,0.2,1,-0.6,1,453,9,17.1,1,1432,9,9,1,8.3,1,17.7,1,-4.5,9,,,,,1,1,,,3.1,1,60,1,945,9,5.6,1,270,1,1759,9,,,,,,,,,,,,,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20201021,1.4,1,12.8,1,2300,9,21.7,1,1351,9,16.7,1,17.3,1,8.9,1,12.2,9,,,0,9,5,1,,,11.6,1,190,1,921,9,20.3,1,190,1,915,9,,,,,,,18.1,9,,,915,9,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20220313,2.4,1,6.2,1,237,9,11.6,1,1001,9,8.3,1,8.9,1,5.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91200002,91200002,DOURDAN,48.526167,1.993,116,20200113,0.6,1,5.9,1,348,9,9.4,1,1555,9,8,1,7.7,1,3.5,1,3.7,9,,,0,9,2.5,1,,,4.5,1,210,9,2336,9,12.1,1,200,1,2327,9,,,,,,,10.5,9,,,2327,9,,
91405002,91405002,MILLY-LA-FORET,48.382167,2.431833,109,20220927,8,1,9.5,1,503,9,17,1,1301,9,12.2,1,13.3,1,7.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20221231,0,1,13.7,1,759,9,15.5,1,1226,9,14.3,1,14.6,1,1.8,1,12.5,9,,,0,9,6,1,,,9.3,1,190,1,459,9,16.8,1,190,1,316,9,,,,,,,14.6,9,,,316,9,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20221109,0.4,1,9.8,1,1736,9,15.7,1,1154,9,11.1,1,12.8,1,5.9,1,7.5,9,,,0,9,2.3,1,,,5.6,1,220,1,1137,9,10.1,1,230,1,1201,9,,,,,,,9.4,9,,,1201,9,,
91200002,91200002,DOURDAN,48.526167,1.993,116,20220626,0.4,1,10.6,1,230,9,22.8,1,1250,9,16.1,1,16.7,1,12.2,1,8.6,9,,,0,9,1.4,1,,,3.9,1,130,1,1711,9,6.2,1,140,1,1708,9,,,,,,,5.7,9,,,1708,9,,
91200002,91200002,DOURDAN,48.526167,1.993,116,20220827,0,1,14.6,1,403,9,25.9,1,1513,9,19.2,1,20.3,1,11.3,1,11.4,9,,,0,9,2,1,,,5.3,1,60,1,1555,9,9.7,1,80,1,1552,9,,,,,,,8.7,9,,,1552,9,,
