num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
75110001,75110001,LARIBOISIERE,48.882833,2.352,55,20211222,0,1,-0.8,1,259,9,1.2,1,558,9,0.1,1,0.2,1,2,1,,,,,557,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75116008,75116008,LONGCHAMP,48.854833,2.233667,27,20200915,0,1,12.8,1,431,9,34.9,1,1405,9,23.3,1,23.9,1,22.1,1,9.5,9,,,0,9,0.8,1,,,3.5,1,150,1,1458,9,6,1,150,1,1503,9,,,,,,,5.7,9,,,1510,9,,
75106001,75106001,LUXEMBOURG,48.844667,2.333833,46,20211019,0,1,15.6,1,2226,9,25.1,1,1409,9,19,1,20.4,1,9.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106001,75106001,LUXEMBOURG,48.844667,2.333833,46,20200304,4.6,1,4.3,1,645,9,9.4,1,211,9,6.7,1,6.9,1,5.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75107005,75107005,"TOUR EIFFEL",48.858333,2.2945,330,20200412,,,15.7,1,532,9,21.4,1,747,9,18.1,1,18.6,1,5.7,1,,,,,0,9,5.4,1,,,11.6,1,160,1,1412,9,19.3,1,180,1,1422,9,,,,,,,,,,,,,,
75110001,75110001,LARIBOISIERE,48.882833,2.352,55,20210313,9.4,1,7.4,1,1740,9,11.9,1,1302,9,8.5,1,9.7,1,4.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75116008,75116008,LONGCHAMP,48.854833,2.233667,27,20220218,3.2,1,9.3,1,1737,9,12.7,1,844,9,10.4,1,11,1,3.4,1,7.6,9,,,0,9,5.5,1,,,9.2,1,280,1,1548,9,19.3,1,240,1,1524,9,,,,,,,17.7,9,,,1544,9,,
75106001,75106001,LUXEMBOURG,48.844667,2.333833,46,20221107,0,1,11.7,1,1801,9,17.4,1,1253,9,13.9,1,14.6,1,5.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75107005,75107005,"TOUR EIFFEL",48.858333,2.2945,330,20201013,,,7.3,1,420,9,10.5,1,1424,9,8.3,1,8.9,1,3.2,1,,,,,0,9,6.2,1,,,12.6,1,310,1,1040,9,17.1,1,310,1,1003,9,,,,,,,,,,,,,,
75114007,75114007,PARIS-MONTSOURIS-DOUBLE,48.821667,2.337833,75,20200401,,,2.2,1,545,9,13.5,1,1418,9,7.8,1,7.9,1,11.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75116008,75116008,LONGCHAMP,48.854833,2.233667,27,20210911,0.2,1,14.4,1,242,9,23.3,1,1343,9,17.3,1,18.9,1,8.9,1,10,9,,,0,9,1.4,1,,,4.3,1,300,1,1049,9,8.7,1,320,1,1113,9,,,,,,,8.2,9,,,1112,9,,
75106001,75106001,LUXEMBOURG,48.844667,2.333833,46,20200712,0,1,12.1,1,422,9,28,1,1514,9,20.3,1,20.1,1,15.9,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75110001,75110001,LARIBOISIERE,48.882833,2.352,55,20210526,1.2,1,10.5,1,141,9,16.5,1,1051,9,13.4,1,13.5,1,6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75114007,75114007,PARIS-MONTSOURIS-DOUBLE,48.821667,2.337833,75,20220903,,,17.6,1,609,9,23.4,1,1627,9,20.1,1,20.5,1,5.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75114007,75114007,PARIS-MONTSOURIS-DOUBLE,48.821667,2.337833,75,20220514,,,11.7,1,413,9,23.8,1,1451,9,18.2,1,17.8,1,12.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75114007,75114007,PARIS-MONTSOURIS-DOUBLE,48.821667,2.337833,75,20200429,,,10.1,1,315,9,16.6,1,1212,9,12.2,1,13.4,1,6.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75107005,75107005,"TOUR EIFFEL",48.858333,2.2945,330,20220513,,,9.5,1,519,9,19.1,1,1555,9,14,1,14.3,1,9.6,1,,,,,0,9,4.3,1,,,8.1,1,320,1,125,9,10.1,1,320,1,253,9,,,,,,,9.4,9,,,126,9,,
75114007,75114007,PARIS-MONTSOURIS-DOUBLE,48.821667,2.337833,75,20201211,,,5.7,1,2316,9,11.7,1,1300,9,8.9,1,8.7,1,6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75107005,75107005,"TOUR EIFFEL",48.858333,2.2945,330,20220706,,,13.4,1,233,9,22.9,1,1545,9,17.9,1,18.2,1,9.5,1,,,,,0,9,5.1,1,,,10.3,1,330,9,2249,9,13.6,1,310,1,1554,9,,,,,,,12.5,9,,,1141,9,,
75107005,75107005,"TOUR EIFFEL",48.858333,2.2945,330,20210801,,,12.8,1,612,9,20.7,1,1630,9,16.4,1,16.8,1,7.9,1,,,,,0,9,5.4,1,,,8.8,1,300,1,1823,9,11.8,1,310,1,1330,9,,,,,,,10.8,9,,,1330,9,,
75110001,75110001,LARIBOISIERE,48.882833,2.352,55,20210605,0,1,14.4,1,341,9,19.8,1,1701,9,17,1,17.1,1,5.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75110001,75110001,LARIBOISIERE,48.882833,2.352,55,20210223,0,1,13.3,1,702,9,18.5,1,1504,9,15.3,1,15.9,1,5.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75114007,75114007,PARIS-MONTSOURIS-DOUBLE,48.821667,2.337833,75,20221224,,,10.4,1,417,9,11.7,1,1152,9,10.8,1,11.1,1,1.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75116008,75116008,LONGCHAMP,48.854833,2.233667,27,20200211,1.8,1,4.5,1,1800,9,9.8,1,1243,9,6.4,1,7.2,1,5.3,1,2.7,9,,,0,9,4.3,1,,,8.1,1,260,1,1449,9,19.8,1,290,1,1733,9,,,,,,,17.7,9,,,1733,9,,
75106001,75106001,LUXEMBOURG,48.844667,2.333833,46,20201226,0,1,2.1,1,642,9,6.4,1,1415,9,4.3,1,4.3,1,4.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
