num_poste,nom_usuel,lat,lon,alti,aaaammjj,dhumec,qdhumec,pmerm,qpmerm,pmermin,qpmermin,inst,qinst,glot,qglot,dift,qdift,dirt,qdirt,infrart,qinfrart,uv,quv,uv_indicex,quv_indicex,sigma,qsigma,un,qun,hun,qhun,ux,qux,hux,qhux,um,qum,dhumi40,qdhumi40,dhumi80,qdhumi80,tsvm,qtsvm,etpmon,qetpmon,etpgrille,qetpgrille,ecoulementm,qecoulementm,hneigef,qhneigef,neigetotx,qneigetotx,neigetot06,qneigetot06,neig,qneig,brou,qbrou,orag,qorag,gresil,qgresil,grele,qgrele,rosee,qrosee,verglas,qverglas,solneige,qsolneige,gelee,qgelee,fumee,qfumee,brume,qbrume,eclair,qeclair,nb300,qnb300,ba300,qba300,tmermin,qtmermin,tmermax,qtmermax
95580001,"ST WITZ",49.085667,2.550667,141,20221214,,,,,,,,,,,,,,,,,,,,,,,66,1,1251,9,87,1,318,9,76,1,0,9,494,9,4.4,9,,,0.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95088001,"LE BOURGET",48.967333,2.427667,49,20200312,,,1016.9,1,1013,1,,,,,,,,,,,,,,,,,41,1,1718,9,89,1,340,9,64,1,0,9,137,9,8.1,9,,,3,9,,,,,0,9,0,9,0,9,0,9,,,,,,,,,,,,,,,0,9,0,9,,,,,,,,,,
95580001,"ST WITZ",49.085667,2.550667,141,20200307,,,,,,,,,,,,,,,,,,,,,,,56,1,1433,9,96,1,618,9,79,1,0,9,758,9,7.7,9,,,1.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95580001,"ST WITZ",49.085667,2.550667,141,20210130,,,,,,,,,,,,,,,,,,,,,,,70,1,1420,9,100,1,621,9,92,1,0,9,1237,9,10.6,9,,,0.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95088001,"LE BOURGET",48.967333,2.427667,49,20201224,,,1016.3,1,1007,1,,,,,,,,,,,,,,,,,75,1,1737,9,97,1,330,9,88,1,0,9,1246,9,8.4,9,,,0.7,9,,,,,0,9,0,9,0,9,0,9,0,9,,,,,,,,,,,,,0,9,0,9,,,,,,,,,,
95580001,"ST WITZ",49.085667,2.550667,141,20220209,,,,,,,,,,,,,,,,,,,,,,,54,1,1407,9,98,1,448,9,82,1,0,9,756,9,8.1,9,,,0.8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95088001,"LE BOURGET",48.967333,2.427667,49,20210724,,,1008.6,1,1006.7,1,,,,,,,,,,,,,,,,,41,1,1537,9,91,1,2016,9,67,1,0,9,333,9,16.9,9,,,5.7,9,,,,,0,9,0,9,0,9,0,9,1,9,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
95527001,ROISSY,49.015167,2.534333,108,20200722,,,1022.4,1,1020.1,1,844,9,2750,9,,,,,,,,,,,92,9,27,1,1313,9,73,1,409,9,48,1,576,9,0,9,10,9,6.2,9,6,9,,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,,,,,,,,
95527001,ROISSY,49.015167,2.534333,108,20190128,,,1006,1,1001,1,220,9,465,9,,,,,,,,,,,41,9,62,1,1421,9,89,1,2130,9,76,1,0,9,370,9,5.9,9,1.4,9,1.3,9,,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1,2,0,9,0,9,0,9,,,,,,,,
95492001,"LE PLESSIS GASSOT",49.040333,2.406667,108,20200505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,9,,,,,0,9,0,9,0,9,0,9,,,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
95492001,"LE PLESSIS GASSOT",49.040333,2.406667,108,20210815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,0,9,0,9,0,9,0,9,,,,,,,,,0,9,,,0,9,0,9,0,9,,,,,,,,,,
95492001,"LE PLESSIS GASSOT",49.040333,2.406667,108,20190207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,9,,,,,0,9,0,9,0,9,0,9,,,,,,,,,,,,,,,0,9,0,9,,,,,,,,,,
95527001,ROISSY,49.015167,2.534333,108,20220524,,,1010.4,1,1005.8,1,311,9,1938,9,,,,,,,,,,,34,9,43,1,1323,9,92,1,1,9,70,1,0,9,453,9,10.9,9,4.2,9,4,9,,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,,,,,,,,
95078001,"PONTOISE - AERO",49.090333,2.0285,87,20190911,,,1024.9,1,1023.1,1,,,,,,,,,,,,,,,,,32,1,1314,9,88,1,449,9,65,1,204,9,421,9,12.3,9,,,3.6,9,,,,,0,9,0,9,0,9,0,9,0,9,,,,,,,0,9,,,0,9,0,9,0,9,,,,,,,,,,
95492001,"LE PLESSIS GASSOT",49.040333,2.406667,108,20201026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,9,,,,,0,9,0,9,0,9,0,9,,,,,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,
95580001,"ST WITZ",49.085667,2.550667,141,20200522,,,,,,,,,,,,,,,,,,,,,,,47,1,1203,9,92,1,0,9,70,1,0,9,317,9,15.5,9,,,5.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95078001,"PONTOISE - AERO",49.090333,2.0285,87,20190307,,,1001.3,1,990.6,1,,,,,,,,,,,,,,,,,49,1,1454,9,93,1,1,9,77,1,0,9,727,9,8.3,9,,,2.5,9,,,,,0,9,0,9,0,9,0,9,0,9,,,,,,,,,,,,,0,9,0,9,,,,,,,,,,
95527001,ROISSY,49.015167,2.534333,108,20210316,,,1027,1,1024.9,1,4,9,406,9,,,,,,,,,,,1,9,72,1,2239,9,95,1,418,9,91,1,0,9,1330,9,9.1,9,0.5,9,0.4,9,,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1,9,0,9,7,9,150,9,,,,
95580001,"ST WITZ",49.085667,2.550667,141,20211110,,,,,,,,,,,,,,,,,,,,,,,65,1,1424,9,98,1,748,9,86,1,0,9,1073,9,7.8,9,,,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95580001,"ST WITZ",49.085667,2.550667,141,20190213,,,,,,,,,,,,,,,,,,,,,,,64,1,1548,9,100,1,525,9,89,1,0,9,1104,9,6.5,9,,,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95690001,WY-DIT,49.108167,1.830667,126,20210521,,,,,,,,,,,,,,,,,,,,,,,46,1,1155,9,88,1,1456,9,73,1,0,9,418,9,9.9,9,,,4.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95580001,"ST WITZ",49.085667,2.550667,141,20220129,,,,,,,,,,,,,,,,,,,,,,,88,1,1713,9,99,1,545,9,96,1,0,9,1440,9,10.2,9,,,0.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95088001,"LE BOURGET",48.967333,2.427667,49,20190912,,,1030.7,1,1027.9,1,,,,,,,,,,,,,,,,,59,1,1348,9,81,1,530,9,72,1,0,9,233,9,17.1,9,,,2.9,9,,,,,0,9,0,9,0,9,0,9,0,9,,,,,,,0,9,,,0,9,0,9,0,9,,,,,,,,,,
