num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
93050001,93050001,NEUILLY-SUR-M.,48.8605,2.5495,45,20221023,0,1,13,1,2144,9,23.6,1,1215,9,18.6,1,18.3,1,10.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93050001,93050001,NEUILLY-SUR-M.,48.8605,2.5495,45,20220424,0,1,6.8,1,439,9,19.6,1,1607,9,14.1,1,13.2,1,12.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93050001,93050001,NEUILLY-SUR-M.,48.8605,2.5495,45,20220209,0,1,0.4,1,719,9,15.1,1,1526,9,6.2,1,7.8,1,14.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93050001,93050001,NEUILLY-SUR-M.,48.8605,2.5495,45,20211019,0,1,14,1,,,23.3,1,,,,,18.7,1,9.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93050001,93050001,NEUILLY-SUR-M.,48.8605,2.5495,45,20210115,0.1,1,1,1,,,3.5,1,,,,,2.3,1,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93050001,93050001,NEUILLY-SUR-M.,48.8605,2.5495,45,20211209,15,1,0.9,1,,,8,1,,,,,4.5,1,7.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93050001,93050001,NEUILLY-SUR-M.,48.8605,2.5495,45,20210902,0.1,1,11,1,,,26,1,,,,,18.5,1,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93050001,93050001,NEUILLY-SUR-M.,48.8605,2.5495,45,20200119,0,1,-1.3,1,,,7.1,1,,,,,2.9,1,8.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93050001,93050001,NEUILLY-SUR-M.,48.8605,2.5495,45,20220704,0,1,10.2,1,406,9,27.2,1,1648,9,19.7,1,18.7,1,17,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93050001,93050001,NEUILLY-SUR-M.,48.8605,2.5495,45,20221223,1.2,1,12.5,1,444,9,15.8,1,1254,9,13.3,1,14.2,1,3.3,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
