num_poste,nom_usuel,lat,lon,alti,aaaammjj,dhumec,qdhumec,pmerm,qpmerm,pmermin,qpmermin,inst,qinst,glot,qglot,dift,qdift,dirt,qdirt,infrart,qinfrart,uv,quv,uv_indicex,quv_indicex,sigma,qsigma,un,qun,hun,qhun,ux,qux,hux,qhux,um,qum,dhumi40,qdhumi40,dhumi80,qdhumi80,tsvm,qtsvm,etpmon,qetpmon,etpgrille,qetpgrille,ecoulementm,qecoulementm,hneigef,qhneigef,neigetotx,qneigetotx,neigetot06,qneigetot06,neig,qneig,brou,qbrou,orag,qorag,gresil,qgresil,grele,qgrele,rosee,qrosee,verglas,qverglas,solneige,qsolneige,gelee,qgelee,fumee,qfumee,brume,qbrume,eclair,qeclair,nb300,qnb300,ba300,qba300,tmermin,qtmermin,tmermax,qtmermax
78505001,PRUNAY-LE-TEMPLE_SAPC,48.867833,1.673333,107,20190222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78620001,"TOUSSUS LE NOBLE",48.750667,2.1135,154,20211002,,,1005.7,1,996.4,1,,,,,,,,,,,,,,,,,74,1,1035,9,99,1,107,9,91,1,0,9,1293,9,15.1,9,,,0.7,9,,,,,0,9,0,9,0,9,1,9,0,9,,,,,,,,,,,,,0,9,1,9,,,,,,,,,,
78486002,"LE PERRAY",48.693667,1.867,174,20220507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78380001,MAULE,48.909167,1.8475,54,20210119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78486002,"LE PERRAY",48.693667,1.867,174,20220120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78640001,VILLACOUBLAY,48.7725,2.204,174,20220305,,,1019.9,1,1018.9,1,,,,,,,,,,,,,,,,,48,1,1313,9,95,1,429,9,82,1,0,9,921,9,8.4,9,,,1.4,9,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,,,0,9,1,9,,,,,,,,,,
78481001,"LE PECQ",48.887833,2.115833,27,20220903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78562001,ST-LEGER_SAPC,48.706667,1.745833,176,20220905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78640001,VILLACOUBLAY,48.7725,2.204,174,20200330,,,1028.2,1,1025.3,1,,,,,,,,,,,,,,,,,26,1,1213,9,72,1,2354,9,46,1,532,9,0,9,3.8,9,,,3.5,9,,,,,,,,,0,9,0,9,0,9,,,,,,,,,,,,,0,9,0,9,,,,,,,,,,
78380001,MAULE,48.909167,1.8475,54,20220525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
