num_poste,nom_usuel,lat,lon,alti,aaaammjj,dhumec,qdhumec,pmerm,qpmerm,pmermin,qpmermin,inst,qinst,glot,qglot,dift,qdift,dirt,qdirt,infrart,qinfrart,uv,quv,uv_indicex,quv_indicex,sigma,qsigma,un,qun,hun,qhun,ux,qux,hux,qhux,um,qum,dhumi40,qdhumi40,dhumi80,qdhumi80,tsvm,qtsvm,etpmon,qetpmon,etpgrille,qetpgrille,ecoulementm,qecoulementm,hneigef,qhneigef,neigetotx,qneigetotx,neigetot06,qneigetot06,neig,qneig,brou,qbrou,orag,qorag,gresil,qgresil,grele,qgrele,rosee,qrosee,verglas,qverglas,solneige,qsolneige,gelee,qgelee,fumee,qfumee,brume,qbrume,eclair,qeclair,nb300,qnb300,ba300,qba300,tmermin,qtmermin,tmermax,qtmermax
91027002,ORLY,48.718,2.397,86,20220602,,,1017.5,1,1015.8,1,777,9,2824,9,,,,,,,,,,,83,9,28,1,1502,9,71,1,352,9,46,1,676,9,0,9,9.7,9,6.5,9,6.7,9,,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1,9,,,,,,,,
91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20220918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91184001,COURDIMANCHE,48.421833,2.374333,71,20210211,,,,,,,,,,,,,,,,,,,,,,,51,1,1407,9,91,1,407,9,69,1,0,9,477,9,3.2,9,,,0.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20220303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20200821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20221011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91027002,ORLY,48.718,2.397,86,20210711,,,1015.7,1,1011.8,1,411,9,2213,9,,,,,,,,,,,44,9,46,1,1436,9,97,1,256,9,73,1,0,9,596,9,15.9,9,4.5,9,4.4,9,,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1,9,0,9,7,9,70,9,,,,
91184001,COURDIMANCHE,48.421833,2.374333,71,20210328,,,,,,,,,,,,,,,,,,,,,,,34,1,1522,9,95,1,524,9,66,1,246,9,571,9,6.9,9,,,2.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91184001,COURDIMANCHE,48.421833,2.374333,71,20220901,,,,,,,,,,,,,,,,,,,,,,,32,1,1457,9,91,1,458,9,58,1,362,9,432,9,13.9,9,,,4.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91103001,BRETIGNY_SAPC,48.6005,2.326,78,20200709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91200002,DOURDAN,48.526167,1.993,116,20200705,,,,,,,,,,,,,,,,,,,,,,,59,1,1328,9,96,1,430,9,78,1,0,9,556,9,18,9,,,4.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91027002,ORLY,48.718,2.397,86,20201124,,,1021.6,1,1016.5,1,242,9,465,9,,,,,,,,,,,47,9,67,1,1304,9,100,1,539,9,88,1,0,9,1129,9,8.3,9,0.6,9,0.7,9,,,0,9,0,9,0,9,0,9,1,9,0,9,0,9,0,9,1,9,0,9,0,9,0,9,0,9,1,9,0,9,8,9,0,9,,,,
91200002,DOURDAN,48.526167,1.993,116,20210811,,,,,,,,,,,,,,,,,,,,,,,40,1,1544,9,100,1,529,9,76,1,1,9,731,9,17.2,9,,,3.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91103001,BRETIGNY_SAPC,48.6005,2.326,78,20210407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91405002,MILLY-LA-FORET,48.382167,2.431833,109,20220411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91027002,ORLY,48.718,2.397,86,20200624,,,1017.5,1,1015.5,1,892,9,3067,9,,,,,,,,,,,93,9,28,1,1407,9,62,1,250,9,44,1,587,9,0,9,14.2,9,8.7,9,8.8,9,,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,,,,,,,,
91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20220604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
