Polluant,etpgrille_mean,rr_mean,tn_mean,tx_mean,tm_mean,ffm_mean,fxy_mean,dxy_mean
NO2,-0.2540770201895114,-0.12916028333501983,-0.38059881189987227,-0.1922111316628081,-0.2797138530880458,-0.43382040561866303,-0.3761159190063092,-0.10897851976492902
O3,0.687912498531427,0.004988642803229957,0.3975703616725767,0.5367650239426845,0.5186616499853984,0.24951423250498195,0.3012207496330477,-0.041297799784113465
PM10,0.014916578969096747,-0.22814875877976531,-0.2661492735456234,-0.05160951735715341,-0.1442211404029492,-0.2614103943373838,-0.26442893423037817,-0.32025595012227587
PM25,-0.22195248382739513,-0.21020887108039235,-0.47452342471054065,-0.31311209987432415,-0.3960581582625345,-0.27878980758808497,-0.30150223138213733,-0.3295352691242336
