Polluant,Tâche,Modèle,Score1,Score2,Score3
NO2,Régression,RandomForest,5.9850567025662995,7.3834246574216245,0.18781723740263212
NO2,Régression,XGBoost,5.535595063680842,6.869576578540142,0.29693089972584974
NO2,Classification,LogisticRegression,0.9889807162534435,0.2,
NO2,Classification,RandomForest,0.9896694214876033,0.21052631578947367,
NO2,Classification,XGBoost,0.9848484848484849,0.26666666666666666,
O3,Régression,RandomForest,7.080779415624225,9.193186272128077,0.6966356059768526
O3,Régression,XGBoost,6.9888326156138225,9.096804715313786,0.7029632190536717
O3,Classification,LogisticRegression,0.9972451790633609,0.0,
O3,Classification,RandomForest,0.9972451790633609,0.0,
O3,Classification,XGBoost,0.9958677685950413,0.0,
PM10,Régression,RandomForest,5.086537457048105,6.475353337854995,-0.06784576053287705
PM10,Régression,XGBoost,4.820830060179652,6.158330752789944,0.03415462213262754
PM10,Classification,LogisticRegression,0.9972394755003451,0.0,
PM10,Classification,RandomForest,0.9972394755003451,0.0,
PM10,Classification,XGBoost,0.9972394755003451,0.0,
PM2.5,Régression,RandomForest,2.7835553682075758,3.686107028801401,0.3172095211510064
PM2.5,Régression,XGBoost,2.7345418840173874,3.6368799278533985,0.335324761275549
PM2.5,Classification,LogisticRegression,0.9875776397515528,0.18181818181818182,
PM2.5,Classification,RandomForest,0.9855072463768116,0.2222222222222222,
PM2.5,Classification,XGBoost,0.9841269841269841,0.25806451612903225,
