Polluant,RMSE,R²
NO2,4.218897011365556,0.8135448502534434
O3,2.2625983498779565,0.9852828140408605
PM10,4.3301930545937015,0.7143336861186862
PM2.5,1.9176012915603815,0.892907056713112
