Polluant,Accuracy,F1-score
NO2,0.9577562326869806,0.9577546827766907
O3,0.9923822714681441,0.9923822395011566
PM10,0.9132617728531855,0.9132606158980756
PM2.5,0.9821675900277008,0.9821660317903503
