Polluant,Accuracy,F1-score
NO2,0.9508310249307479,0.948636867284933
O3,0.9927285318559557,0.9927355520349986
PM10,0.9207063711911357,0.9199001410751672
PM2.5,0.9783587257617729,0.9783854979228679
